rang,ime,leto,opis,ocena_strani,povprecna_ocena,stevilo_glasov
778,Love Letter: Batman,2015,"Deduce your way to survival; either as the dark knight, or as a Gotham villain.",6.753,7.27,5693
779,Smash Up: Awesome Level 9000,2013,"Now you can fight with killer plants, ghosts, steampunk, and bear cavalry!",6.753,7.22,7103
780,Earth Reborn,2010,"500 years after global war, two factions vie to control this strange new world.",6.752,7.61,3374
781,Trismegistus: The Ultimate Formula,2019,Discover the formula to the Philosopher&#039;s Stone as you become the greatest alchemist!,6.752,7.59,3567
782,Century: A New World,2019,Place workers to find and upgrade resources as the expedition reaches distant shores.,6.752,7.31,5081
783,Barcelona,2023,Take on the role of builders in 19th-century Barcelona working on the new district.,6.751,7.77,2735
784,Carcassonne: The Castle,2003,"A two-player, tile playing, castle building battle.",6.751,7.1,8402
785,Arkwright,2014,Amass wealth as a manufacturing entrepreneur — embrace the industrial revolution.,6.751,7.79,2579
786,Tash-Kalar: Arena of Legends,2013,Deploy your minions in magical formations to summon forth legendary creatures.,6.751,7.16,7184
787,The Estates,2018,"Bid and build a new urban development in the city, but will your investments pay off?",6.751,7.42,3968
788,Scholars of the South Tigris,2023,Gather scrolls and bring them back to the House of Wisdom to be translated.,6.75,8.08,2062
789,Space Hulk: Death Angel – The Card Game,2010,Clear a spacecraft of alien swarms in this card-based take on the classic Space Hulk.,6.75,7.0,13450
790,Fury of Dracula (Second Edition),2005,"The vampire hunters chase Dracula through Europe, while evading his deadly traps.",6.748,7.09,9342
791,Shadows of Brimstone: Swamps of Death,2014,Co-op dungeon crawl the monster-ridden Old West mines and hot Jargono otherworld.,6.748,8.03,2461
792,Wir sind das Volk!,2014,A tug-of-war struggle for the future of a divided Germany.,6.748,7.79,2595
793,7 Wonders: Architects,2021,"Race against others to assemble your wonder, but speed won&#039;t guarantee victory.",6.746,7.04,10660
794,Dragon Castle,2017,Draft Mahjong-like tiles and place them carefully to create the best castle.,6.745,7.12,7835
795,Defenders of the Realm,2010,Fantasy heroes join forces and cards to defeat the ever advancing enemy hordes.,6.744,7.28,5498
796,Prêt-à-Porter,2010,An economic strategy game set in the world of fashion.,6.743,7.3,4928
797,Leaving Earth,2015,Space agencies launch realistic rockets to explore space and nearby planets.,6.743,7.73,2905
798,Diplomacy,1959,Powers of post-Victorian Europe cooperate and clash to become master of the Continent,6.741,7.04,13427
799,Steampunk Rally,2015,Race in wacky contraptions as a variety of history’s greatest inventors.,6.741,7.16,6887
800,City of the Big Shoulders,2019,"Manage companies, invest in stocks and optimize delivery of goods in 1870&#039;s Chicago.",6.741,7.76,2670
801,Crystal Palace,2019,Show off your wild inventions at the first World&#039;s Fair in London 1851.,6.74,7.52,3453
802,BANG! The Dice Game,2013,A wild west elimination dice game with secret teams.,6.74,6.89,24741
803,The Shipwreck Arcana,2017,"Trapped in a drowned world, use deduction and work together and escape your doom!",6.74,7.43,3915
804,Wits & Wagers,2005,Bet on who’s likely to guess the closest to the correct answer in this trivia game.,6.739,6.93,15464
805,My Little Scythe,2017,"Gather fruits and gems, encounter events, and start friendships (or pie fights!).",6.738,7.23,5868
806,Villagers,2019,Draft cute medieval villagers to complete production chains &amp; earn gold!,6.736,7.15,7608
807,Messina 1347,2021,"Rescue citizens, let them work in your estate &amp; fight the plague.",6.736,7.57,3258
808,Specter Ops,2015,Hide or hunt in this tactical game of cat and mouse!,6.735,7.17,6467
809,Empire of the Sun: The Pacific War 1941-1945,2005,Strategic-level conflict simulation covering the Pacific War between US and Japan.,6.735,8.27,2023
810,ZhanGuo,2014,Carefully manage civil unrest while rebuilding China for the Emperor.,6.735,7.55,3270
811,K2,2010,Compete to reach the top of an extremely dangerous Himalayan peak.,6.734,7.01,10604
812,Witchstone,2021,"Use your cauldron wisely to multiply actions because the more you do, the better.",6.734,7.55,3325
813,Maquis,2013,Avoid patrols to complete missions vs. the Nazis in this solo worker-placement game.,6.733,7.46,3855
814,Coal Baron,2013,"Mine coal, fulfill and deliver orders as you vie to become the top coal baron.",6.733,7.28,5037
815,The Networks,2016,"TV executives compete for stars, shows, and ads to ensure their network is #1.",6.732,7.15,6602
816,Century: Eastern Wonders,2018,Explore the high seas to establish new spice trading networks among the islands.,6.731,7.12,7564
817,Shikoku 1889,2004,Buy railroad shares to compete in a financial death match in 19th-century Japan.,6.731,7.99,2074
818,New Frontiers,2018,Select an action for all that gives you the edge in building the best space empire.,6.731,7.42,3836
819,Between Two Cities,2015,Build a shared city with each of your neighbours. Can you make both thrive?,6.73,6.98,11296
820,Warhammer Quest: The Adventure Card Game,2015,"Roll dice, pick skills, &amp; smash vermin in a grim &amp; dark narrative adventure.",6.73,7.31,5490
821,Menara,2018,Explorers use their dexterity and cunning to resurrect the ancient temples of Menara.,6.729,7.43,3815
822,Vegas Showdown,2005,"Bid on restaurants, slots &amp; lounges to build the best hotel/casino in all of Vegas!",6.727,7.15,6396
823,Reef,2018,"Grow your reef, and arrange it beautifully on your seafloor to score more points.",6.725,7.02,9786
824,New York Zoo,2020,"Build animal enclosures, introduce new animals to your zoo, and breed offspring.",6.724,7.06,8562
825,Advanced Squad Leader: Starter Kit #1,2004,"Ease yourself into Advanced Squad Leader, the wargame of all wargames.",6.724,7.84,2697
826,Federation,2022,Become the most influential and prestigious delegation of the Federation!,6.724,7.91,2295
827,Yspahan,2006,Take dice from the tower to stock souks with goods and manipulate the camel train.,6.723,7.06,8160
828,CO₂: Second Chance,2018,Work together to create green energy sources to reduce the global carbon footprint.,6.722,7.52,3451
829,Dogs of War,2014,"Worker Placement meets Tug of War as you influence multiple battles, also hats.",6.721,7.53,3351
830,Thunderstone Advance: Towers of Ruin,2012,Defeat an ancient evil protecting and feeding on a thunderstone.,6.72,7.32,4757
831,Blue Moon City,2006,Rebuild the city and call dragons to maximize your contribution to the tower.,6.72,7.04,8685
832,Middle-Earth Quest,2009,A game of adventure and conflict set in the time of the creation of the Fellowship.,6.72,7.39,4214
833,Rhino Hero: Super Battle,2017,Build sprawling cardboard towers and see how heroes climb up to then duel clumsily.,6.72,7.23,5434
834,Eminent Domain,2011,"Survey planets, trade resources, and gain tech as your deck learns and grows.",6.719,6.98,10515
835,Wallenstein,2002,"Plan your strategy to control central Europe, but don&#039;t forget to feed your armies!",6.717,7.46,3662
836,Perudo,1800,"Roll dice, take a chance, and bluff your way to victory in this game of luck!",6.716,6.92,15405
837,Top Ten,2020,Answer a question based on your number (1-10) so the Cap&#039;ten can get the order right!,6.716,7.47,3566
838,Deep Sea Adventure,2014,2-6 Treasure Hunters share the same submarine. Who will prevail?,6.715,6.9,17520
839,Blokus,2000,Fit your tiles on a shared board with not enough space for everyone.,6.715,6.86,27663
840,Shipyard,2009,Build ships that best match your objectives and send them on test runs for points.,6.714,7.35,4101
841,Disney Villainous: The Worst Takes it All,2018,"The villains assemble to face off, race to their goal, and rule the Disney realms.",6.714,6.95,20531
842,Detective Club,2018,Come up with an explanation for your surreal cards to hide your secret role.,6.713,7.38,4199
843,Tiny Epic Dungeons,2021,A classic dungeon crawler in Tiny Epic form!,6.712,7.5,4350
844,Paris: La Cité de la Lumière,2019,Players compete for their moment in the light by placing oddly shaped building tiles.,6.712,7.28,5089
845,Khôra: Rise of an Empire,2021,"In Ancient Greece, develop your city-state faster and better than your opponents!",6.711,7.4,3959
846,The Pursuit of Happiness,2015,"Live your life to the fullest! Start relationships, careers, hobbies, and many more.",6.709,7.18,5724
847,Kanagawa,2016,Harmonize Japan&#039;s nature and culture to paint the most beautiful landscape.,6.709,7.02,9116
848,Warhammer: Invasion,2009,Resource management is vital in this clash of several races in the Warhammer universe,6.709,7.24,6057
849,Finca,2009,Use your farmers to acquire produce then deliver it where those goods are needed.,6.709,7.07,7497
850,Caverna: Cave vs Cave,2017,"Excavate, dig and mine your way to victory in this 2 player version of the original.",6.708,7.1,6892
851,Crown of Emara,2018,Win the crown and succeed the King of Emara!,6.707,7.39,3866
852,878 Vikings: Invasions of England,2017,Scramble to defend your home as the English or gamble on invasion as the Vikings.,6.707,7.5,3522
853,Wizard,1984,"Predict how many tricks you&#039;ll win, with the help of Wizards and Jesters.",6.707,6.98,11794
854,Caesar!: Seize Rome in 20 Minutes!,2022,Caesar and Pompey deploy units to battlegrounds across Rome to seize control!,6.706,7.57,3025
855,Roll Player Adventures,2021,Choose wisely in this RPG style adventure — every decision has lasting consequences.,6.705,8.18,1921
856,Ricochet Robots,1999,Be the first to solve a spatial puzzle using hard-controlled robots to win!,6.705,7.03,9208
857,World Without End,2009,"A board game based on the novel by Ken Follett, a sequel to The Pillars of the Earth.",6.702,7.23,5091
858,Blue Lagoon,2018,Explore an unsettled archipelago and connect your villages by land and sea...twice!,6.702,7.21,5165
859,Empires: Age of Discovery,2015,"Colonize, trade, develop and battle to rule the Age of Imperialism.",6.701,7.83,2281
860,Ex Libris,2017,Alphabetize your magical library while leveraging shifting location power-ups.,6.701,7.13,6614
861,Dice Hospital,2018,Hire staff and upgrade your facility to best treat and discharge your patients.,6.701,7.12,6535
862,Moonrakers,2020,Mercenaries fight for sovereignty of the galaxy&#039;s outlaw coalition - The Moonrakers.,6.7,7.73,3134
863,Circadians: First Light,2019,Open negotiations and build coalitions with new species in space.,6.699,7.56,3088
864,Saint Petersburg (Second Edition),2014,Hire workers and influence aristocrats to build prestigious buildings!,6.699,7.46,3412
865,Incan Gold,2005,How deep into a dangerous mine dare you explore before leaving with your riches?,6.699,6.84,21776
866,Space Hulk,1989,Miniatures wargame where Space Marines battle the Genestealers.,6.699,7.49,3880
867,Tumblin' Dice,2004,Flick and push dice down wooden platforms and knock out the competition to win!,6.699,7.25,4725
868,Railroad Ink: Blazing Red Edition,2018,Build a network of rails and roads throughout a fiery landscape.,6.698,7.08,7187
869,A War of Whispers,2019,Manipulate empires from the shadows as you outwit and outmaneuver the competition!,6.698,7.32,4374
870,Super Motherload,2015,Collaboratively control a mining robot on Mars to be first to reach precious gems.,6.698,7.34,4075
871,Cry Havoc,2016,Asymmetric factions engage in epic struggle for land and crystal on an alien planet.,6.696,7.12,6930
872,Unfair,2017,"Create thematic fun parks, hire staff and attract guests galore!",6.696,7.32,5194
873,Disney Villainous: Perfectly Wretched,2020,The cruelest of them all have come to conquer the spotlight.,6.695,7.61,3315
874,Raccoon Tycoon,2018,"Build railroads, towns and goods to become the most prodigious critter in Astoria.",6.694,7.26,4853
875,Exit: The Game – The Secret Lab,2016,Solve difficult clues to escape this sinister lab -lest you become the test subject.,6.694,7.06,7058
876,SpaceCorp: 2025-2300AD,2018,Develop your enterprise through the eras and take humanity to the stars.,6.692,7.68,2746
877,Cerebria: The Inside World,2018,Spirits of Bliss and Gloom manipulate emotions in a tug of war to represent the mind.,6.69,7.74,2703
878,"Heroes of Land, Air & Sea",2018,An epic battle for dominance across the mythical land of Aughmoore.,6.689,7.58,3177
879,Clever Cubed,2020,"Draft dice to mark numbers on your scoresheet, comboing bonuses to power your points.",6.689,7.49,3197
880,Hannibal & Hamilcar,2018,Recreate the struggle between Rome &amp; Carthage in the 1st &amp; 2nd Punic Wars.,6.689,8.29,1764
881,Panamax,2014,Manage your shipping company to cargo-carrying success.,6.688,7.31,4073
882,Up Front,1983,World War Two infantry card game based loosely on Squad Leader.,6.688,7.89,2284
883,Red7,2014,Art is so subjective! Don&#039;t like the color? Change the rules so you can win!,6.688,6.87,16213
884,Santiago,2003,"Auction, build, and bribe your way into a flourishing irrigation network.",6.687,7.16,5413
885,FUSE,2015,Hurry up! Disarm the bomb by collectively assembling the correct dice combinations.,6.687,7.0,8827
886,Black Angel,2019,Guide the Black Angel on an intergalactic voyage to find a new home for humanity.,6.686,7.23,4936
887,Vast: The Crystal Caverns,2016,"Where a knight, dragon, cave, goblins, or thief, prepare for an asymmetric battle.",6.686,7.11,7053
888,Gentes,2017,Develop your civilization through balancing between time and wealth consumption.,6.686,7.39,3601
889,Dale of Merchants,2015,"Learn new techniques, trade goods, and manage your stock to build the master stall!",6.685,7.17,5693
890,Tammany Hall,2007,Fight for political power in New York during the era of Boss Tweed.,6.684,7.29,4352
891,Not Alone,2016,The shipwrecked Hunted try to escape Artemia while eluding pursuit by the Creature.,6.684,6.97,11040
892,The Duke,2013,"Draw, place, move and flip tiles to capture the enemy Duke.",6.684,7.32,4202
893,Zombicide Season 2: Prison Outbreak,2013,Toxic zombies add a new twist to this season of the zombie-killing classic.,6.684,7.34,4759
894,Merchants Cove,2021,Operate your own specialty goods shop with a unique set of components and mechanisms.,6.684,7.46,3538
895,Celestia,2015,Players take turns as pilot and press their luck to win the greatest treasures!,6.683,6.94,11677
896,Trio,2021,Reveal anyone&#039;s lowest or highest card and keep going until there&#039;re three of a kind!,6.682,7.33,4300
897,Jambo,2004,African merchants go toe-to-toe to hawk their wares and earn the most gold.,6.68,6.99,8346
898,Squad Leader,1977,Command squads of soldiers in tactical WWII combat.,6.68,7.55,3453
899,Unlock!: Epic Adventures,2019,Description is not provided.,6.679,7.72,2407
900,King of New York,2014,Monsters vie for fame or dominance over New York in this dice-rolling game.,6.679,6.88,16716
901,Tang Garden,2019,Design and landscape a garden with majestic vistas gazed upon by noblemen.,6.679,7.35,4146
902,Arcadia Quest: Inferno,2017,Arcadia was dragged down into Inferno. Save it and rescue angels from the Underlord!,6.678,7.87,2386
903,Letter Jam,2019,Provide word-based hints so everyone can deduce their scrambled mystery word.,6.678,7.18,4984
904,Dungeons & Dragons: The Legend of Drizzt Board Game,2011,The dark elf Drizzt Do&#039;Urden lurks deep within a monster-infested labyrinth maze.,6.677,7.21,6436
905,Fugitive,2017,A quick card chase; will the fugitive escape or will the detective crack the case?,6.676,7.15,5403
906,Abomination: The Heir of Frankenstein,2019,Bring your monster to life by collecting body parts in 19th century Paris.,6.674,7.45,3453
907,1989: Dawn of Freedom,2012,A game of political struggle as the Soviet Empire begins to show cracks.,6.674,7.77,2340
908,Dune: War for Arrakis,2024,Fight for control of Arrakis and its precious Spice.,6.673,8.5,1643
909,Outlive,2017,"Place your apocalypse team to secure items, events, &amp; resources then build a base.",6.673,7.28,4685
910,Among the Stars,2012,"In a time of galactic peace, draft rooms to construct the best space station.",6.673,7.03,7241
911,Pandemic: Rising Tide,2017,Build dikes and pumps to protect the Netherlands from flooding by the North Sea.,6.673,7.55,2923
912,La Granja: Deluxe Master Set,2023,Develop your farm and compete to deliver goods to the market at the right time.,6.672,8.31,1548
913,Last Bastion,2019,Work together and defend your last outpost against invading hordes of monsters.,6.671,7.46,3506
914,Star Wars: Unlimited,2024,"Fill your decks with heroes, villains, and more from the Star Wars galaxy.",6.671,8.17,1892
915,Morels,2012,"Walk through the woods, collect mushrooms, and cook them up for tasty points.",6.671,6.99,9398
916,Parade,2007,"Hold a parade for the Queen. In Wonderland, losing might be the best way to win.",6.67,7.0,8042
917,Clinic: Deluxe Edition,2019,Treat patients for profit to build the city&#039;s most lucrative clinic.,6.67,7.61,2728
918,Lovecraft Letter,2017,Confront eldritch lore: win by staying sane or triumph through madness!,6.669,7.23,4932
919,Battle for Rokugan,2017,Misdirect your enemies and bluff your way to victory in order to honor your clan.,6.669,7.4,3797
920,Lords of Xidit,2014,"Planning 6 moves ahead, recruit locals to help you defeat the invading monsters.",6.669,7.08,6288
921,XCOM: The Board Game,2015,Quickly work together to develop new tech and defend the world from invading aliens.,6.668,7.0,9123
922,Brazil: Imperial,2021,Build your own Brazilian empire in this 4X euro game!,6.666,7.59,3192
923,Tribune: Primus Inter Pares,2007,Fight for control over the ruling factions of Rome in this game of intrigue!,6.665,7.21,4673
924,ZÈRTZ,1999,Sacrifice pieces to your opponent in order to win this counterintuitive game.,6.664,7.26,4381
925,Star Wars: The Card Game,2012,Unique deckbuilding and tense battles with a bluffing component.,6.663,7.18,5802
926,Dinosaur World,2021,Delight visitors in a park populated by homegrown dinos. Safety waivers recommended!,6.663,7.37,3897
927,HITSTER,2022,Listen to music hits and take turns guessing when the songs were released.,6.663,7.66,2563
928,Rurik: Dawn of Kiev,2019,"Claim your father&#039;s throne! Build, tax, &amp; fight through unique “auction programming.”",6.662,7.73,2527
929,One Deck Dungeon,2016,Level up your hero and descend deeper into the monster dungeon.,6.662,6.94,11616
930,Vasco da Gama,2009,Plan your day in a non-linear manner to launch ships but beware of changing tides!,6.661,7.22,4573
931,Ohanami,2019,"Create the best Zen garden by harmonising water, vegetation, stones and sakura trees.",6.66,7.29,4060
932,Friedrich,2004,Europe is on a knife&#039;s edge as Prussia faces down an uneasy alliance.,6.66,7.56,2897
933,Reef Encounter,2004,Polyps grow into corals and fight for control of the reefs.,6.659,7.13,5213
934,Coffee Roaster,2015,Brew the richest blends and score high in this solo puzzle.,6.658,7.34,3657
935,Azul: Master Chocolatier,2022,Join the best chocolate makers of the world.,6.658,7.9,2160
936,The Lost Expedition,2017,Lead your intrepid explorers deep into the deadly jungle in your quest for El Dorado.,6.657,7.04,7313
937,Star Trek: Fleet Captains,2011,Federation and Klingon fleets complete missions throughout the galaxy for dominance.,6.657,7.48,3340
938,Qwixx,2012,Use everyone&#039;s dice rolls to mark off numbers—but you can&#039;t go back once you pass.,6.657,6.87,13809
939,Scoville,2014,"Plant, cross-breed, harvest, and sell or cook your peppers to win the Chili Festival!",6.657,7.12,5446
940,Roam,2019,Seek out and awaken the sleepwalking residents of Arzium.,6.656,7.29,4034
941,Forbidden Island,2010,The island is sinking! Will the brave adventurers save the treasures in time?,6.655,6.76,51337
942,The 7th Citadel,2024,Slave-gardeners explore a post-apocalyptic medieval fantasy world to fight a Threat.,6.654,8.63,1527
943,Startups,2017,Invest in startups but beware - you only make money by controlling popular companies!,6.654,7.2,4682
944,Rhino Hero,2011,Build a giant tower and try to make your opponent be the one to let it collapse.,6.654,6.91,11352
945,Combat Commander: Pacific,2008,Recreate the Pacific theater of World War II in this acclaimed card-driven wargame.,6.653,8.11,1743
946,Spyrium,2013,A unique worker-placement game set in a steampunk world.,6.653,7.04,6351
947,Smart10,2017,"1 question, 10 possible answers and players take turns to find the right ones.",6.653,7.49,3046
948,Yedo,2012,Sabotage rival clans by completing cloak-and-dagger missions in the city of Yedo.,6.653,7.35,3843
949,Mahjong,1850,"Use the Winds, Dragons and suit tiles you draw to finish with the best hand!",6.65,7.05,7661
950,"13 Days: The Cuban Missile Crisis, 1962",2016,USA and USSR seek world domination - but too much aggression triggers nuclear war.,6.65,7.21,4525
951,Werewords,2017,20 questions with a twist... a time limit and a sneaky werewolf who knows the answer!,6.649,7.12,5355
952,Washington's War,2010,Classic card-driven game. Free the Patriots or keep America in the British Empire.,6.649,7.6,2624
953,Undaunted: Stalingrad,2022,Lead your stalwart troops to victory in World War II&#039;s most infamous city.,6.649,8.62,1398
954,Zombicide: Invader,2019,Guide survivors to complete their objectives while defending against waves of aliens.,6.646,7.78,2683
955,Container,2007,Players drive prices as they produce and ship goods in this economic simulation.,6.646,7.16,4834
956,Hyperborea,2014,"Compete to collect the riches of a long-lost, magical society.",6.645,7.17,4996
957,Roll Through the Ages: The Bronze Age,2008,Roll and Civilize your way to victory with an ancient Mediterranean empire.,6.642,6.85,12160
958,Black Sonata,2017,Search London to deduce the identity of a mysterious Shakespearean lady.,6.642,7.46,3151
959,Luxor,2018,It&#039;s a race to the tomb as you control a team of loot grabbing archaeologists!,6.642,7.2,4745
960,Thunderstone,2009,Adventurers gain power slaying foes. Can you defeat the guardian of the Thunderstone?,6.639,6.91,10599
961,Codex Naturalis,2021,"Compile a manuscript of overlapping pages, revealing plants, animals and fungi.",6.639,7.23,4603
962,Carcassonne: The City,2004,Build the historical city by laying tiles and building walls and towers.,6.638,7.2,4491
963,Pictomania,2011,Pictionary chaos. Everyone draws and guesses at the same time.,6.638,7.27,3896
964,Imperial Steam,2021,"Plan, build, and expand your railway network during the Industrial Age of Austria.",6.638,7.79,2135
965,Caylus 1303,2019,Quarrelsome master builders compete for supplies and specialists to impress the King.,6.638,7.44,3168
966,Challengers!,2022,Capture the flag and hold onto it to win the tournament!,6.637,7.12,5579
967,Nightmare Productions,2000,"Make the best (and worst!) horror films, bidding on directors, creatures, and more.",6.636,7.06,5748
968,Jekyll vs. Hyde,2021,Will you maintain balance or give in to darkness in the battle of Hyde and Jekyll?,6.636,7.23,4203
969,Ca$h 'n Guns: Second Edition,2014,A band of gangsters splits its loot — but guns speak louder than money.,6.636,6.82,15613
970,Catacombs (Third Edition),2015,Flick down the door and slay monsters in this dexterity-based dungeon delve!,6.635,7.47,3040
971,Spicy,2020,Lie about your cards and call out your friends when they do.,6.635,7.15,5426
972,San Marco,2001,"Control Venice! You divide the cards, but another player chooses who gets which set.",6.634,7.17,4573
973,Akrotiri,2014,"Explore the Aegean Sea, connect trade routes, and discover temples by placing tiles.",6.634,7.17,4706
974,Red Rising,2021,Craft a hand of powerful characters from the dystopian world of Red Rising.,6.634,7.0,8043
975,Formula Dé,1997,Use custom dice to race on Formula 1 courses.,6.634,6.99,7920
976,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,2008,Fast-paced tactical wargame of the Eastern Front during Operation Barbarossa.,6.633,7.5,3069
977,Napoleon's Triumph,2007,A tactical-level block wargame simulating the Battle of Austerlitz.,6.633,8.0,1837
978,Last Night on Earth: The Zombie Game,2007,A handful of survivors aim to survive the night against the zombie horde.,6.632,6.91,14155
979,Spyfall,2014,Players ask each other probing questions to detect the Spy.,6.632,6.77,21475
980,Union Pacific,1999,Will you increase the value of railways you have a stake in or fight for more shares?,6.632,7.19,4358
981,The Mind,2018,Play your cards in ascending order without communicating. Timing is key!,6.63,6.75,32182
982,Tajemnicze Domostwo,2013,"Each night, a ghost gives a group of psychics visual clues to reveal who killed them.",6.63,7.1,5418
983,Palm Island,2018,Develop and gather resources to grow an island that fits in the palm of your hand.,6.63,7.08,6186
984,The Palaces of Carrara,2012,"Buy marble to erect beautiful buildings, but score them quickly before the game ends!",6.629,7.13,4786
985,Summoner Wars: Alliances Master Set,2014,Face off against opposing summoners in a battle of force and wits.,6.628,8.04,1823
986,Marvel Dice Masters: Avengers vs. X-Men,2014,"Captain America, Wolverine &amp; more face off in dice battles.",6.628,7.09,5700
987,Istanbul: The Dice Game,2017,Roll worker dice to collect and trade resources to acquire shiny rubies!,6.628,7.15,4879
988,Tak,2017,Be first to build a complete road using tiles that can stack or stand on edge.,6.626,7.58,2916
989,Kitchen Rush,2017,"Juggle orders, prepare dishes, and stock the pantry to satisfy your hungry customers.",6.625,7.24,4057
990,Jaws,2019,Hunt down the killer shark terrorizing Amity Island. Then battle it out on the Orca.,6.624,7.09,6174
991,Tinners' Trail,2008,Will you make a fortune mining tin and copper in 19th Century Cornwall?,6.623,7.21,4111
992,Genoa,2001,Negotiate with your fellow traders to deliver goods and letters through Genoa.,6.623,7.05,6184
993,Signorie,2015,"Use your ever-growing family to influence civil, religious, and military power.",6.621,7.38,3163
994,Evergreen,2022,"Make your planet as verdant as possible, especially in valuable biomes.",6.62,7.47,2921
995,Tiny Epic Dinosaurs,2020,Become dino ranchers in the lucrative dinosaur farming industry.,6.619,7.32,3658
996,Stella: Dixit Universe,2021,Players confront each other with word-images association and risk management choices,6.619,7.31,3626
997,Tragedy Looper,2011,"Players live, die, and repeat in order to outwit and defeat the evil Mastermind.",6.619,7.18,4603
998,Call to Adventure,2019,"Hero or Foe? You decide in this tile chucking, character building game.",6.619,7.08,6408
999,Lanterns: The Harvest Festival,2015,Decorate the lake with floating lanterns and dedicate your cards to gain honour!,6.618,6.87,11510
1000,Kingsburg (Second Edition),2017,Influence members of the King&#039;s court to grow your province and prepare for battle.,6.617,7.39,3170
